Name, Description, RecommendedSkills, Brands, Common, Red, Yellow, Purple, Teal
"Izanami","A really strong magical demon with good survivability as well. She utilizes the unique skill Yomotsu Okami which, as long as she's alive Elec and Dark attacks do 10% more damage for all party members. This means she's useful for setups with demons such as Purple Thor (Elec pierce) and Black Frost (Go To Hell! has dark pierce attached to it). Even without them, she herself comes with Bolt Storm and Merciless blow meaning if you face a elec weak demon they'd get fried to a crisp.","Resist Fire. To cover her weakness Elec Boost. Goes well with Elec Amp, though if you take resist as well you'd be conjuring Bolt Storms all day and night. Dark skill. To take advantage of her passive Dark boost. Pair with Red or a dark skill if you don't want to cover her weakness.","Brands: Spell is fine since Bolt Storm doesn't cost much. For Aragami, Hell Gaze will cost 6mp, go with Divine if you want to use it off the bat in pvp. Life is also good since she's quite bulky.","Life Surge increases her tankiness, though this'll be the hardest to get unless you're in luck with hell buns or have tons of mag to fuse clear 5* demons.","Hell Gaze goes well with her unique passive and is quite powerful too, 180 power with -1 mp cost will hit hard.","Concentrate would pair up well with a single target skill (given she doesn't pierce).","Elec Amp boosts her elec damage even further. You would either stack this with Elec Boost + cover her weakness or cover her weakness and go with another skill","Repel Ice would go well with Alilat to prevent Purple Rama from piercing your team. She naturally has Null Ice however so this is not that great."
"Alice","Dark oriented unit with Mamudoon, Mudodyne and her unique Die for Me! (DfM) (Kills a single enemy, one use only). Yup, she can kill anyone she points her finger at and so she's really good for shutting down dangerous opponents and can hit hard provided they don't have dark immunity as that's all her base kit relies on.","Resist Light (If not Teal). she should have her weakness covered. Dark Boost. Increase her dark damage further, if you run it with Purple, then she's stuck with dark skills only (provided you covered weakness) Megido (If not Clear/Yellow). As she only uses Dark skills, Almighty can be used when you face dark immune/resistant opponents. Any other element would work too, but almighty would be best.","Brands: Divine/Ward helps you charge up for DfM as quickly as possible, though Spell would work as Mamudoon and Mudodyne both cost 6 mp only.","Soul Drain gives her a single target almighty skill, giving her more coverage. Since she's too reliant on dark this is good for when you face dark immune opponents.","She doesn't really need more dark skills so Hell Gaze wouldn't help much in that department. Sure it's an upgrade to Mudodyne, but it leaves less flexibility in your final skill slots (Mudodyne works well enough anyways). Glacial Blast enables her to use ice. Being multi-hit it would be good for bosses but can be stopped by ndr and so it's better generally to get single target to ensure you can land a hit or aoe if you know no enemies are immune.","Necro Dogma gives her an almighty skill to play with, also landing more of a support role (Necro Dogma has a Rakukaja effect) and giving her more coverage. It is quite a costly skill however, so if you want to make the most out of it, it's recommended running Divine brands with it. Epic Recovery is a rare skill, but currently is pretty bad. For defending yourself against ailments, its better to rely on preventing it rather than rng to cure it.","Dark Amp stacks up her dark damage, making it hit way harder Wild Instinct is pretty bad as well. Reducing crit damage taken is not that great (she also has quite high luck so won't be hit by crits that much in the first place)","Repel Light covers her light weakness, granting her immunity as well. She can pair well with Alilat to prevent Light and Dark pierce. Thunder Reign gives her a powerful single target elec skill, so it'll capitalize on her high magic stat and more coverage (which she really needs)."
"Huang Di","The most powerful hero in game with no weaknesses, high strength, high agility, luck, sporting 2 unique skills + Hades Blast. Superior Power (which boosts his accuracy and granting him Phys pierce (!!!) and Yinlong Killer, a sweeping phys skill which adds 50% with high power. With that skillset he's quite devastating in any content and this is probably why (him + Hell Biker/Zaou Gongen setup), you see a lot of anti-phys defense teams in pvp.","Phys Boost. Damage up, sweeping all day and all night Endure/Enduring Soul for more survival so he can bring the pain. Bloody/Savage Glee. If you want even higher chances for criticals Null Phys (If not Yellow). Prevents reflected damage from killing him Butcher. Pair with Phys Boost (or Amp if you're lucky) to increase his damage even further.","Brands: War to maximise his damage or Divine if you want to pull off turn 1 Hades Blast + have 2 turn Yinlong Killer spamming. Life can ensure he's bulky. You wouldn't really need Ward as Purple or pulled Teal but it can act as a safety harness. In that case Aim could be nice against evasion teams or Shield for magic defense.","Life Aid doesn't help that much with him. Due to innate resistances he can take a fair amount of damage, though i suppose this archetype would be better than Yellow's Salvation.","Berserker God is really good for taking out single targets. If you don't run divine, regardless you can turn one attempt to snipe an enemy. Auto-Taruka Saves you using another demon with it. If you have Ananta, then this skill can be replaced if you wish to","Salvation is not that good on him as he is not a caster (and it's too costly). It's unlikely he'd ever use it in auto. Null Phys is what makes this pulled archetype good (and is the only source of a Null resistance that is transferable). If his attack is repelled he won't die to the reflected damage and so you can sweep teams irregardless of Alilat + repel phys. I'd recommend shifting this to another archetype if you can.","Null Charm is amazing for pvp. If he's charmed then chances are he'll take down your own team due to his sheer power. Serial Killer will boost his aoe damage even further but can easily be replaced with Phys boost if you wish (10% vs 15%), or you could run both.","Repel Light prevents deaths via God's Bow, light sweeping (e.g. Mastema) and light piercing when paired with Alilat. Infernal mask ensures he's unlikely to be hit by ailments (I wouldn't recommend removing this due to its rarity and how useful it can be)."
"Huang Long","Arguably the best support demon in the game with resistance to all elements (minus dark, phys), Null Light + high stats (minus strength). His main use is Five Elements (5E) which is an improved version of Makarakarn, reflecting all spells including Almighty meaning only pierce skills/phys attacks can be used. Regardless of the archetype, i would recommend getting him as 5 Elements will make any content way easier. 5 Elements can be countered via Makara Break or Silent Prayer to remove it.","Endure. For pvp and survival Samarecarm. Gives you more support utility Barrier Break. Combine this with a Speedster HL for turn one ailment teams. On his subsequent turns he'd then spam 5E for survival. Speedster. If not Purple and you'd like the skill anyways its still a valid choice on him. A fair investment though as it is 10 skill points and requires you to fuse Kama (or if you're lucky have a Teal pulled Rakshasha). Null Phys. If you're going for the Teal Route, this can further bolster him for pve content and be a surprise for pvp. Dodge/Evade. You should build him for evasion, this just further enhances it. 5E to ignore magic and evasion to avoid physical.","Brands: Divine, you'd want to always have 5E up.","Life Aid doesn't help him that much. Given his innate survivability you wouldn't really expect this to do much.","Energy Drain gives him a single target attack. He's meant to be used for spamming 5E so this may throw a wrench in his ability to continuously spam it (given it has the same mp cost due to being an awakening skill). The most effective way to build him is for support not damage.","Luster Candy allows him to buff your party to boost all stats, what's not to love about that? This can however cause small issues in autoing as he'd likely use this over 5 elements, but in manual play is really amazing, extending his support kit to buffs as well. If you have Amaterasu, he doesn't really need this.","Speedster with his naturally high speed, this would allow your team to reach really high battle speed numbers, ensuring you act first. In pve content its always a good idea for your team to go first and so he helps in this regard greatly. Speedster can be transfered however so you can go with another archetype if you wish (you'd save a fair amount of mag when going with this one, unless you're lucky enough to pull Speedster).","Null Dark means he resists all elements and would be immune to Light and Dark. He can then block Alice, White Rider from one shotting him and naturally would also prevent Ixtab's instant kill (due to 5E). In Deceit 10, when 5E isn't casted he can make Metatron lose turns quite easily"
"Rama","OP demon with no weaknesses (Immune to fire, resistant to ice). Rama comes with Mabufudyne and 2 unique skills: Drain Pierce (Pierce has no effect on demons with Drain resistances, provided he's alive) and Brahmastra (Almighty hit all 3 times). He's the drain version of Alilat's effect and with Brahmastra, is effective against demons that have avatar/endure/enduring soul.","Endure/Enduring soul. As long as he's alive you want Brahmastra spam. Butcher/Serial Killer. The only way to boost his almighty damage, though butcher is only obtainable through Skill gacha. Serial killer can be gotten from Shiva. Ice Boost. If you're insistent on using him as an ice piercer, this can be boost up Mabufudyne's damage.","Brands: Divine. You want to spam spells so this is the only option really, Spell/Life is okay but then you won't be able to 2 turn skills in exchange for more damage/hp.","He's a magic attacker so Hades Blast has no use to him at all","Energy Drain is rather lackluster as you'd prefer using Brahmastra instead. Mana Aid makes him really good in pve, essentially you'd wipe out waves with Brahmastra, regain your mana, rinse and repeat. This would make him a really good demon to use in autoing provided he hits hard enough.","Luster Candy would give you another source of a full buff (Though that's better suited to Amaterasu/Huang Long), he won't use it on auto due to being Attack AI. Concentrate would allow you to use him in Jack Bros setups, charging up to deal high amounts of damage.","Though you'd want to spam Brahmastra, Ice Pierce would go through 5 elements saving you from bringing Makara Break/Silent Prayer. Ice Age could help for single targeting","Drain Ice is an effective counter to other Purple Ramas and can be useful against Makarakarn/5 Elements, Reflect a Mabufudyne off the shield to heal. Null Mute is not that great on him, so it can be replaced."
"Zaou-Gongen","One of the key pieces in the Rebellion + Pierce combo (Pair him with Hell Biker and let them go ham). This is due to his unique skill Kongo Zaou which enables demons with Rebellion (Might effect) to also have pierce attached to their phys attacks/skills.","Resist Elec to cover his weakness Phys Aoe skill if not red.","Brands: War/Divine. Divine would allow you to two turn God's Hand and enables transfering more expensive phys aoe skills (If Yellow)","Enduring Soul increases his survivability but doesn't help that much in this case. The main goal with him is to stack up damage to hopefully one shot pve waves/one turn pvp teams.","Herculean Strike is perfect for when you have Hell Biker with you, gives you a spammable phys sweeping skill to use.","Rebellion allows you to take advantage of his passive without Hell Biker, so he himself can still be a really effective phys demon.","He has okay magic so you can technically build him with spells in mind, Fire Amp would boost his Maragidyne damage up. But given there aren't that many fire weak demons (+ a fair amount of fire immune ones), this isn't that good.","Drain Phys is good if you have Rama, however his best friend is Hell Biker and a phys oriented crew to go alongside him."
"Alilat","Really good defensive demon to use, helping immensely vs piercing units (such as those that can be seen in AG). This is because of her unique skill Repel Pierce, ignoring the pierce effect on units that repel the attribute. She is easy/cheap to fuse, has no weaknesses and really high luck + Infernal Mask meaning she can inflict ailments quite well and be unlikely to be inflicted herself. Due to this you have a lot of freedom in picking how you want to build her, whether a debuffer, ailment caster, or even a healer role from what i've seen.","Samarecarm. For added support. Recarmdra. To surprise people in pvp and give your team a second fighting chance (Run divine in order to be able to use it). Aoe ailment skills except for curse and weak. Charm all, Bind all, Mute all are all valid (This is for pvp) War Cry/Fog Breath/Acid Breath, she can act as a tanky debuffer.","Brands: Divine for ailments or Life for general survival. Aim for HP%, or ailment % if you're using Ailment skills. PDEF % is also valid against phys pierce when you're fighting against Hell Biker teams.","Diarahan for single target healing. This is her only archetype so you're stuck with this anyways.","She's support type so in rare cases Soul Drain could be used. You'd want to build her towards support rather than damage anyways.","Mediarama gives her usable aoe healing (a step up from Diarahan i'd say). With this archetype you can easily build her as a healer.","Mana Gain doesn't help much and isn't that good of a skill in general","Null Phys would be useful for pve content, making her immune to phys attacks means she'd less likely be targeted and be more of a thorn in the enemy's side. Naturally she'd be able to block phys units such as: Seth, Siegfried, Zhong Kui, Nergal, Shiva, Ose from the top of my head."
"Lakshmi","Demon with the highest magic stat in the game. She also comes with a unique skill Lotus dance (60% chance to charm all enemies), given her high luck stat she's almost guaranteed to inflict charm on the enemy team and so can be built as magic dps or ailment slinger.","Resist Force. if not Teal. Megido. To take advantage of her really high magic stat. Megidola/Megidolaon would be if you use Divine brands Madness/Insanity. If you really want guaranteed ailment infliction then you can transfer these too (though i think it may be a bit overkill). It would help against high luck demons like Zhong Kui, Dionysus, Alilat if its crucial that they are to be inflicted. Single target Ice. The main counter to ailments is Kinmamon and some people choose not to cover his weakness, if you could deal enough damage you could lock down their ailment clearer.","Brands: Divine to ensure turn one charms + if you do go with an aoe almighty skill, the ability to spam it. Life for Yellow if you want her to be more defensive. Sick brands are also good for a more slow but higher odds approach.","Mana Gain gives her more mp. Not useful at all sadly.","Killing Wind gives her a single target force skill, its okay but more coverage is always better. On the plus side you can single out enemies with it.","Defensive Cry (Tarunda + Rakukaja), gives her more of a support utility. It's an amazing defensive buff for keeping your team alive.","Insanity is another good choice in increasing her already really high ailment chance if you want to maximise it (perhaps you could even charm a certain rock). Personally i feel her charm chance is already high enough (you could always run ailment %/sick brands anyways), but this archetype is usable regardless.","Null Force will cover her weakness, giving you freedom in customizing the two skill slots."
"Ixtab","The opposite of a tanky demon as instead of surviving as long as possible she'd prefer to die for me due to her unique passive Yaxche. This activates only on the enemy turn as when she dies: her killer is hit by an almighty attack and is killed with a 100% success rate (same effect as White Rider/Alice). This bypasses Endure/Avatar/Enduring Soul, but doesn't activate if her team is wiped out/she's the last to die. On offense you can easily exploit the game's AI to target her by intentionally leaving her at level 1, or having the least defense/hp/mdef so they're tempted to kill her straight away.","Resist Light. Not for the purpose of reducing damage, but instead for not giving the enemy extra press turns. Madness. Good when combined with Yellow's Insanity its a good to go with her. Recarmdra, Samarecarm. Bring back allies if she's being targeted last Any other ailment skills like Charm, Mute, Weak, etc. Barrier break to remove barriers for ailment inflicting (though another demon can fulfil this role)","Brands: Divine, Speed, Spell, Lead combinations all work. Don't give her HP/def/mdef and instead focus on stats like Ailment Infliction, Ailment Resistance, Speed (If you want to act first), Matk % if you want to use her as dps.","Null Weak prevents a already not that good ailment from hitting her. If you build her up to resist ailments this would help in terms that rely on inflicting Weak.","Hell Gaze gives her a powerful single target dark skill. Paired with her gacha skill, you can run her as glass cannon. Assassin would boost up the damage of Hell Gaze and her innate Bufudyne as well.","Mahashibaboon sets her up as an ailment user (she naturally has pretty good luck for infliction). Insanity complements this and there's also the fact that levelling up her passive also increases her ailment infliction rate. Give her other ailments and she can pile them on the enemy team.","Berserker, usually bad (increase damage dealt, increased damage taken), but in her case has the opposite effect. Auto-Rakunda helps in swinging the offensive balance to your side (pair with Auto-Taruka for the best effect) on match start. You can build for magic as berserker would make her hit harder. She has low strength so don't bother with phys.","Null Light covers her weakness which is desired, you wouldn't want the enemy team to get extra press turns off her death (in case they kill her revivers). Mabufudyne gives her an aoe ice skill, its not really needed so up to you whether you keep it or not."
"Samael","Another 5* unit with access to Infinite Chakra. Naturally he also has pretty high stats (excluding strength), repels light and dark but has a elec weakness. He comes with Salvation (same heal amount as Mediarama + prayer effect attached to it, 3 uses), Mana Aid meaning he'd be a really effective pve demon and God's Malice a unique skill which can cause a myriad of ailments to a single target.","Resist Elec to cover weakness Megido/Megidola/Megidolaon. Taking advantage of his high magic stat and his large mp regen too you can use this for sweeping and God's Malice to lock targets down. High MP cost skills that you want to use on a support.","Brands: Divine to get 5mp regen or Spell maximising damage, Life making him beefy","Samael isn't meant to be a phys unit and so Death Counter wouldn't help him much.","Purgatory gives him a multi-hit dark skill, given his best Archetype is purple, this doesn't really compare to it.","Tetrakarn is not that great on him. If you really wanted this on him you can just go purple and obtain it from Azrael, the +1 mp gain would offset the non-awakened mp cost.","Infinite Chakra grants +1 mp regen and allows you to run him without divine brands. With divine brands you can spam out skills really easily and two turn Salvation.","He's weak to elec not fire and so Null Fire won't do much for him"
